Lazy,Over,six,Cochabamba,El_Alto,La_Paz,Oruro,Santa_Cruz,Shocks,Manufacture,Commerce,Services,Individual,Consumption,Groups,Village,Others,Loan_Term,Lenders,Years_with_new_loans,First_timer,Cohort_1997,Cohort_1998,Cohort_1999,Cohort_2000,Default_First,Number_Potential_Workers,Age_Main_Income_Source,Education_Average,Diversification,Savings,Migrants,Female_Main_Person,Commercial,Assets,cruzados,Shocks_97,Shocks_98,Shocks_99,Shocks_00,Shocks_01,cuest
0.0,1.0,B,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.5,1,5,0,1,0,0,0,0,5,56.0,8.4,2.125,0,0.0,0,1,1.2698972,0,0,0,0,1,1,82
,0.0,A,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.0,1,1,1,0,0,0,1,0,2,30.0,7.0,1.125,0,0.0,1,0,0.04845815,0,0,0,0,1,1,83
0.0,1.0,B,0,0,1,0,0,1,0,0,1,1,0,0,0,0,2.0,1,5,0,1,0,0,0,0,5,60.0,1.0,2.0,0,0.0,0,1,1.6762115,0,0,0,0,1,1,84
0.0,1.0,B,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.0,1,4,0,1,0,0,0,0,2,38.0,10.5,2.5,1,0.0,0,0,1.7321585,0,0,0,0,1,1,85
0.0,1.0,C,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,1,1,0,0,1,0,0,4,58.0,5.5,1.75,0,0.0,1,0,0.8396476,0,0,0,1,0,0,86
1.0,1.0,D,0,0,1,0,0,1,1,0,0,1,0,0,0,0,3.0,2,1,0,1,0,0,0,0,6,37.0,6.5,2.0,0,0.0,1,0,1.1392806,0,1,0,0,0,0,87
,0.0,A,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.5,2,1,1,0,1,0,0,0,6,37.0,6.5,2.0,0,0.0,1,0,1.1392806,0,0,0,0,0,0,87
1.0,1.0,E,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2.0,3,3,0,1,0,0,0,1,3,52.5,3.0,2.25,1,0.0,0,0,3.7982378,0,0,0,1,1,1,88
1.0,1.0,E,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.8333333,3,2,0,0,1,0,0,0,3,52.5,3.0,2.25,1,0.0,0,0,3.7982378,0,0,0,1,1,0,88
0.0,1.0,B,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.6666667,3,1,1,0,0,1,0,0,3,52.5,3.0,2.25,1,0.0,0,0,3.7982378,0,0,0,1,0,0,88
0.0,1.0,B,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.5,3,1,0,1,0,0,0,1,4,41.0,13.0,1.25,1,0.0,1,0,4.459765,0,0,1,0,0,0,89
0.0,1.0,C,0,0,1,0,0,1,0,0,1,1,0,0,0,0,2.0,3,2,0,1,0,0,0,0,4,41.0,13.0,1.25,1,0.0,1,0,4.459765,0,0,1,1,1,0,89
1.0,1.0,E,0,0,1,0,0,1,0,0,1,1,0,0,0,0,3.0,3,1,1,0,1,0,0,0,4,41.0,13.0,1.25,1,0.0,1,0,4.459765,0,0,1,1,1,1,89
0.0,1.0,B,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.41666666,1,3,0,0,1,0,0,0,4,60.0,12.5,2.0,0,0.0,0,0,0.3643172,0,0,0,0,1,0,90
0.0,1.0,C,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.0,1,1,1,0,0,1,0,0,6,48.0,4.6666665,2.0,0,0.0,0,0,0.11306901,0,0,0,1,1,0,91
0.0,1.0,C,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.0,1,3,0,1,0,0,0,0,2,34.0,8.0,1.25,0,0.0,0,0,0.10572687,0,0,0,1,1,1,92
1.0,1.0,E,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0,2,2,0,1,0,0,0,1,4,47.0,6.5,3.0,1,1.0,1,0,0.076358296,0,0,0,0,0,0,93
,,F,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0,2,2,0,1,0,0,0,0,4,47.0,6.5,3.0,1,1.0,1,0,0.076358296,0,0,0,0,0,0,93
0.0,1.0,C,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.25,1,1,1,1,0,0,0,0,2,50.0,10.0,1.25,1,0.0,0,0,0.54930687,0,0,0,0,0,0,94
,0.0,A,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,1,3,0,1,0,0,0,0,4,40.0,8.75,2.375,0,0.0,0,0,0.9688693,0,0,0,0,0,0,95
0.0,1.0,B,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.0,1,2,0,1,0,0,0,0,2,63.0,17.0,1.5,1,0.0,1,0,1.2101321,0,0,0,1,0,0,96
0.0,1.0,C,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2.0,1,1,1,0,0,1,0,0,6,58.0,8.5,2.25,1,1.0,0,1,0.14537445,0,0,0,1,1,1,97
1.0,1.0,D,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.41666666,2,3,0,0,1,0,0,1,3,34.0,14.0,1.0,0,0.0,0,0,0.7268723,0,0,1,1,1,0,98
0.0,1.0,C,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2.0,2,1,1,0,1,0,0,0,3,34.0,14.0,1.0,0,0.0,0,0,0.7268723,1,0,1,1,1,0,98
